institute,salary9,salaryAnnual,title,totalFaculty
Troy University,41372.0,55163.0,Lecturer,117
Tuskegee University,45687.0,60916.0,Professor,55
Tuskegee University,67182.0,89577.0,Associate Professor,51
Tuskegee University,70813.0,94418.0,Assistant Professor,111
Tuskegee University,44412.0,59217.0,Instructor,35
Tuskegee University,43196.0,57596.0,Lecturer,10
United States Sports Academy,61737.0,82316.0,Associate Professor,1
United States Sports Academy,51857.0,69143.0,Assistant Professor,4
United States Sports Academy,38525.0,51367.0,Instructor,1
United States Sports Academy,,51642.0,Lecturer,
University of Alaska Anchorage,104375.0,139167.0,Professor,111
University of Alaska Anchorage,80288.0,107051.0,Associate Professor,139
University of Alaska Anchorage,66927.0,89237.0,Assistant Professor,234
University of Alaska Anchorage,50403.0,67205.0,Instructor,59
University of Alaska Anchorage,,60000.0,Lecturer,
University of Alaska Fairbanks,109339.0,145786.0,Professor,85
University of Alaska Fairbanks,81593.0,108791.0,Associate Professor,116
University of Alaska Fairbanks,67772.0,90363.0,Assistant Professor,173
University of Alaska Fairbanks,63295.0,84394.0,Instructor,39
University of Alaska Southeast,94181.0,125575.0,Professor,7
University of Alaska Southeast,75044.0,100059.0,Associate Professor,29
University of Alaska Southeast,68677.0,91570.0,Assistant Professor,62
University of Alaska Southeast,51679.0,68905.0,Instructor,
Alaska Pacific University,56199.0,74932.0,Professor,12
Alaska Pacific University,50257.0,67010.0,Associate Professor,14
Alaska Pacific University,40074.0,53433.0,Assistant Professor,16
Alaska Pacific University,29937.0,39917.0,Instructor,5
Charter College,35539.0,47385.0,Instructor,44
Prince William Sound Community College,82448.0,109931.0,Professor,1
Prince William Sound Community College,73829.0,98439.0,Associate Professor,2
Prince William Sound Community College,60319.0,80426.0,Assistant Professor,4
Career Academy,,61365.0,Professor,
Career Academy,30229.0,40306.0,Instructor,13
Everest College-Phoenix,66701.0,88936.0,Instructor,
Collins College,,44459.0,Instructor,
Thunderbird School of Global Management,141631.0,188843.0,Professor,11
Thunderbird School of Global Management,85093.0,113457.0,Associate Professor,25
Thunderbird School of Global Management,81513.0,108684.0,Assistant Professor,8
Thunderbird School of Global Management,,49092.0,Instructor,
American Indian College of the Assemblies of God Inc,,29450.0,Professor,
Apollo College-Phoenix Inc,32515.0,43354.0,Instructor,15
Carrington College-Mesa,37197.0,49597.0,Instructor,12
Carrington College-Tucson,27327.0,36437.0,Instructor,8
College America,37132.0,49510.0,Associate Professor,6
College America,,35183.0,Assistant Professor,
Brookline College-Phoenix,42813.0,57085.0,Instructor,8
Arizona State University,133468.0,177958.0,Professor,598
Arizona State University,90727.0,120970.0,Associate Professor,463
Arizona State University,81736.0,108982.0,Assistant Professor,319
